Nome;Unidade;quantidade
CARAMELO SALGADO INDIVIDUAL;UN;0
IOGURTE C/ AMARENA INDIVIDUAL;UN;0
COOKIE CREAM INDIVIDUAL;UN;0
DOCE DE LEITE INDIVIDUAL;UN;0
CASCAO G PRO CASCAO 120UN;CX;0
CAFE TORRADO GRAO 1KG;UN;0
PAZINHA DEGUSTAÇÃO;UN;0
FICHA;UN;0
SUPORTE DELIVERY;UN;0
LEITE EM PO INTEGRAL (INSUMO);KG;0
WEY;UN;0
AÇAI NATURAL;UN;0
TANGERINA 5;CX;0
GELATO BANANA CARAMELIZADA;UN;0
GELATO PAÇOCA;UN;0
CASQUINHA GELATO 2 SABORES;UN;0
PICOLE UVA;UN;0
SUCO AÇAÍ COM WEY PROTEIN 300 ML;UN;0
SUCO AÇAÍ COM WEY PROTEIN 500 ML;UN;0
IOGURTE COM  FRUTAS VERMELHAS ZERO 15LTS;UN;0
CAPPUCCINO CHOCOLATE CAPSULA;UN;0
IOGURTE FRUTAS VERMELHAS ZERO 15LTS;UN;0
MARACUJA 15LTS;UN;0
COOKIE PISTACHE;UN;0
Bombom Pistache - CX C/12;CX;0
Cookie Pistache Mini;UN;0
PAÇOCA 240ML - INSUMO;UN;0
PICOLE DE IOG COM AMARENA;UN;0
AÇAI NATURAL CAIXA  5 LITROS;UN;0
CINTA 15L;UN;0
WEY - INSUMO;UN;0
TANGERINA 15LTS;UN;0
COOKIES & CREAM15LTS;UN;0
COOKIE CREAM 15LTS;UN;0
GELATO BASE SHAKE;KG;0
AÇAI ZERO POTE 250 ML;UN;0
BOMBOM DEMAIS;UN;0
PALETA DE IOG COM AMARENA;UN;0
GELATO FIOR DI LATTE;KG;0
CASQUINHA MINI;UN;0
CASCAO P;UN;0
COOKIE LIMAO SICILIANO;UN;0
CESTINHA DE CHURRO;UN;0
OVOMALTINE 750GR;UN;0
AÇAI E IOGURTE NATURAL 15LTS;UN;0
BALDE AÇAI KG;UN;0
COPO 300 ML;UN;0
CANUDO MILKSHAKE;UN;0
SUCO LARANJA PRATS - INSUMO;L;0
COLHER ROXA AÇAI;UN;0
COPO 500 ML;UN;0
BOMBOM DE AÇAI COM CHOCOLATE 70% - INSUMO;UN;0
BOMBOM DE AÇAI COM CHOCOLATE BRANCO - INSUMO;UN;0
CASQUINHA - INSUMO;UN;0
GUARDANAPO;UN;0
SUPORTE CASQUINHA;UN;0
CASCÃO - INSUMO;UN;0
GARRAFAS 500 ML;UN;0
BOMBOM DARK COBERTO CHOCOLATE - INSUMO;UN;0
GELATO CAFE TRUFADO;KG;0
GELATO CHOCOLATE BELGA;KG;0
GELATO DOCE DE LEITE;KG;0
GELATO IOGURTE C/ AMARENA;KG;0
GELATO MANGA ZERO;KG;0
GELATO CUPUAÇU;KG;0
CESTINHA - INSUMO;UN;0
CALDA DE CHOCOLATE - INSUMO;KG;0
BARCA;UN;0
CANUDINHO BIJU - INSUMO;KG;0
GELATO COOKIES & CREAM;KG;0
IOGURTE C/ AMARENA POTE 240 ML - INSUMO;UN;0
COOKIES & CREAM POTE 240 ML - INSUMO;UN;0
CHOCOLATE BELGA 240ML - INSUMO;UN;0
MILHO VERDE 240ML - INSUMO;UN;0
BANANA COMPRA;KG;0
MORANGO  COMPRA;KG;0
GELATO MORANGO;KG;0
GELATO AÇAI ZERO;KG;0
GELATO LIMAO SICILIANO;KG;0
GELATO MILHO VERDE;KG;0
CAFE TRUFADO 240ML - INSUMO;UN;0
DOCE DE LEITE POTE 240 ML - INSUMO;UN;0
BOMBOM DE BAUNILHA COBERTO COM CHOCOLATE - INSUMO;UN;0
GELATO CREME;KG;0
GRANOLA - INSUMO;KG;0
FAROFA DE PAÇOCA - INSUMO;KG;0
LEITE CONDENSADO - INSUMO;KG;0
CALDA DE MARACUJA - INSUMO;KG;0
CALDA DE FRUTAS VERMELHAS - INSUMO;KG;0
CALDA DE AMARENA - INSUMO;KG;0
CALDA DE BANANA CARAMELIZADA - INSUMO;KG;0
LEITE EM PÓ - INSUMO;KG;0
MEL - INSUMO;KG;0
CARAMELO SALGADO POTE 240 ML - INSUMO;UN;0
MANGA ZERO 240ML - INSUMO;UN;0
PISTACHE POTE 240 ML - INSUMO;UN;0
